No,分類,テスト項目,テスト内容,入力例,期待結果,実装状況
1,入力機能,数字入力,数字ボタンが押せるか,1,1 が表示される,○
2,入力機能,連続入力,数字を連続入力できるか,1→2→3,123 と表示される,○
3,入力機能,桁数制限,8桁を超える入力が制限されるか,12345678→9,9 が無視される,○
4,入力機能,小数点制御,小数点を複数入力できないか,1.2.3,2つ目の . が無視される,○
5,入力機能,不正入力防止,最初に演算子を押せないか,#ERROR!,入力されない,○
6,計算機能,加算,足し算ができるか,2+3=,5,○
7,計算機能,減算,引き算ができるか,7-4=,3,○
8,計算機能,乗算,掛け算ができるか,2×3=,6,○
9,計算機能,除算,割り算ができるか,8÷2=,4,○
10,計算機能,連続演算,連続した演算ができるか,1+2+3=,6,× 
11,計算機能,演算子優先順位,×÷ を優先計算できるか,2+3×4=,14,× 
12,計算機能,小数計算,小数を含む計算ができるか,5÷2=,2.5,○
13,異常系,0除算,0で割ったときエラーになるか,5÷0=,エラー,○
14,表示機能,指数表記,桁数超過時に指数表記になるか,99999999+1=,1.00E+08,○
15,リセット機能,Cボタン,Cで初期化されるか,123→C,0 に戻る,○
16,リセット機能,C後の無効入力,C直後の演算子や小数点を無視するか,C→+,入力されない,○
17,操作性,演算子連打,演算子連打時に最後だけ残るか,2+-,- に置換される,○
18,UI表示,表示更新,入力ごとに画面更新されるか,1→2→3,表示が更新される,○
19,安定性,ボタン連打,連打しても落ちないか,#ERROR!,クラッシュしない,○
20,UI表示,レイアウト崩れ,長い数字やエラー表示で崩れないか,99999999,UIが崩れない,